fixed.acidity,density,sulphates,alcohol
8.3,0.9972,0.61,10.2
7.8,0.9959,0.56,10.4
8.1,0.9972,0.59,9
8.1,0.9967,0.51,9.2
7.2,0.996,0.48,9.4
8.1,0.9967,0.51,9.2
6.2,0.9969,0.79,9.3
8,0.9976,0.8,9.6
8.1,0.9969,0.69,9.3
7.8,0.9964,0.93,9.5
8.4,0.9964,0.66,9.8
8.4,0.9964,0.66,9.8
10.1,0.9988,0.67,9.7
7.8,0.9964,0.93,9.5
9.4,0.9966,0.63,10.5
8.3,0.9978,0.61,10
7.8,0.997,0.5,9.4
8.8,0.9962,0.6,10.9
7,0.9959,0.54,9.2
7.3,0.9962,0.57,9
8.8,0.9962,0.6,10.9
7.3,0.998,0.52,9.2
8,0.9976,0.53,9.5
7.8,0.996,0.48,9.5
9,0.9984,0.7,9.4
8.2,0.9964,0.49,10.9
8.1,0.9964,0.48,10.9
8,0.9962,0.92,10.5
6.1,0.9955,0.57,9.4
8,0.9968,0.66,9.4
5.6,0.9937,0.63,13
5.6,0.9937,0.63,13
6.6,0.9952,0.58,9.8
7.9,0.9959,0.55,9.9
8.4,0.9965,0.82,9.6
8.3,0.9968,0.77,9.5
7.2,0.9972,0.64,9.2
7.8,0.9962,0.54,9.5
7.8,0.9962,0.54,9.5
8.4,0.9965,0.82,9.6
8.3,0.9968,0.77,9.5
5.2,0.9916,0.79,14
6.3,0.9954,0.58,9.4
5.2,0.9916,0.79,14
8.1,0.9968,0.62,9.4
5.8,0.9944,0.52,10
7.6,0.9968,0.8,9.3
6.9,0.9959,0.58,10.2
8.2,0.9975,0.61,10.5
7.3,0.9958,0.53,10.3
7.5,0.995,0.54,10.1
7.5,0.995,0.54,10.1
7.1,0.9973,0.72,10.5
7.1,0.9973,0.71,10.5
7.1,0.9973,0.72,10.5
7.1,0.9973,0.71,10.5
7.1,0.9969,0.5,9.3
6.8,0.9968,0.57,9.3
7.6,0.9959,0.56,9.6
7.6,0.9965,1.08,9.2
7.8,0.9964,0.56,10
7.4,0.9982,0.49,9.4
7.3,0.9981,0.49,9.4
7.8,0.9961,0.62,9.5
6.8,0.9956,0.52,10.2
7.3,0.9956,0.48,9
6.8,0.9953,0.55,10.4
7.9,0.9972,0.33,9.1
8,0.9972,0.61,9.2
8,0.9972,0.61,9.2
7.4,0.9961,0.57,11.5
7.3,0.9961,0.47,9.5
6.9,0.9958,0.78,9.5
7.3,0.9961,0.47,9.5
7.5,0.9972,0.61,10.5
7,0.9969,0.56,9.6
8.8,0.9969,0.59,9.5
8.8,0.9969,0.59,9.5
8.9,0.9972,1.02,9.3
7.2,0.9972,0.52,9.3
6.8,0.9971,0.58,9.3
6.7,0.997,0.58,9.3
8.9,0.9971,0.53,9.7
7.4,0.9972,0.55,9.2
7.7,0.9976,0.49,9.7
7.9,0.9968,0.55,9.5
7.9,0.9968,0.55,9.5
8.2,0.9976,0.62,9.4
6.4,0.9974,0.62,9.8
6.8,0.9969,0.61,9.5
7.6,0.9964,0.55,9.7
7.6,0.9964,0.55,9.7
7.8,0.9968,0.54,9.4
7.3,0.9968,0.59,10.2
11.5,0.9981,0.97,10.1
5.4,0.9924,0.85,13
6.9,0.9948,0.43,11.4
9.6,0.99695,0.82,10.3
8.8,0.9975,1.03,9.3
6.8,0.99545,0.79,9.5
7,0.9961,0.55,9.2
7,0.99615,0.56,9.2
12.8,0.9994,0.77,10.8
12.8,0.9994,0.77,10.8
7.8,0.99625,0.53,9.3
7.8,0.9966,0.67,9.4
11,0.998,0.88,10.5
9.7,0.99585,0.86,12.4
8,0.99685,0.56,10
11.6,0.998,0.67,10.2
8.2,0.9959,0.43,10.1
7.8,0.9974,0.71,9.8
7,0.9974,0.76,10.5
8.7,0.9962,0.57,11
8.1,0.9967,0.55,9.1
7.5,0.9957,0.54,9.7
7.8,0.99655,0.6,9.5
7.8,0.9964,0.59,9.4
7.4,0.9957,0.57,9.4
6.8,0.99525,0.6,9.5
8.6,0.99815,0.6,10
8.4,0.99745,0.57,10.4
7.7,0.99615,0.58,10.5
9,0.9984,0.63,9.8
7.7,0.99615,0.58,10.5
6.9,0.99685,0.5,11
5.2,0.9927,0.62,12.2
8,0.99625,0.52,9.9
8.5,0.998,0.7,9.6
6.9,0.99685,0.5,11
8.2,0.99685,0.55,9
7.2,0.99675,0.58,9
7.2,0.99675,0.58,9
7.2,0.99675,0.58,9.2
7.2,0.99675,0.58,9
8.2,0.99685,0.55,9
8.9,0.9971,1.09,9.3
12,0.99925,0.71,10.9
7.7,0.99565,0.49,9.8
15,1.00005,0.84,9.2
15,1.00005,0.84,9.2
7.3,0.9983,0.96,9.9
7.1,0.99685,0.52,9.5
8.2,0.9963,0.45,9.3
7.7,0.99615,0.48,9.8
7.3,0.9983,0.96,9.9
10.8,0.9985,0.78,10
7.1,0.9972,0.7,9.9
11.1,0.9986,0.53,10.5
7.7,0.9959,0.59,9.5
7.1,0.9972,0.7,9.9
8,0.99675,0.57,9.3
9.4,0.998,0.62,9.2
6.6,0.9968,0.67,9.2
10,0.99965,0.8,10.5
7.9,0.99625,0.65,9.3
7,0.99565,0.6,9.4
8,0.99575,0.57,10
7.9,0.9963,0.67,9.3
12.5,0.9999,0.87,10.9
11.8,0.9968,0.72,10.2
8.1,1.00025,0.72,9.8
7.9,0.9973,0.86,12.8
6.9,0.9987,0.91,9.4
11.5,0.9996,0.97,10.1
7.9,0.9965,0.67,10.7
11.5,0.9996,0.97,10.1
10.9,0.99935,0.78,10.1
8.4,0.99735,0.64,9.4
7.5,0.99915,0.77,9.4
7.9,0.9965,0.67,10.7
6.9,0.9987,0.91,9.4
11.5,0.9996,0.97,10.1
10.3,0.9976,0.82,12.6
8.9,0.9991,0.77,10.5
11.4,0.9986,0.82,9.3
7.7,0.9972,1.08,9.9
7.6,0.9971,0.57,9.1
8.9,0.9991,0.77,10.5
9.9,1.00015,0.71,9.8
9.9,1.00015,0.71,9.8
12,0.9997,0.76,10.3
7.5,0.9967,0.7,10.3
8.7,0.9976,0.86,10.6
11.6,1.001,0.95,9.2
8.7,0.9976,0.86,10.6
11,0.9979,0.71,10.5
10.4,0.9994,0.64,10.3
6.9,0.9964,0.6,10.1
13.3,1.0014,0.81,9.5
10.8,1.0001,0.64,9.5
10.6,0.9981,0.52,9.9
7.1,0.99855,0.73,9.6
7.2,0.9993,0.8,9.7
6.9,0.99845,0.71,9.6
7.5,0.9965,0.59,10.7
11.1,0.9973,0.64,10.1
8.3,0.9994,0.72,10
7.4,0.996,0.54,9.5
8.4,0.9973,0.52,9.2
10.3,0.9998,0.59,9.3
7.6,0.9966,0.52,9.4
10.3,0.9994,0.62,9.5
10.3,0.9994,0.63,9.5
7.4,0.9968,0.53,9.5
10.3,0.9998,0.59,9.3
7.9,0.996,0.54,9.4
9,0.99815,0.63,9.5
8.6,0.9976,0.53,9.4
7.4,0.99645,0.68,11
7.1,0.9962,0.65,11
9.6,0.9996,0.65,10.1
9.6,0.99865,0.64,10.4
9.8,0.9989,0.71,11.5
9.6,0.99865,0.64,10.4
9.8,0.9989,0.71,11.5
9.3,0.99975,0.62,9.7
7.8,0.99735,0.63,9.3
10.3,0.999,0.7,9.5
10,1.0015,0.69,9.2
10,1.0015,0.69,9.2
11.6,0.9978,0.74,11.5
10.3,0.998,0.83,11.5
13.4,1.0002,0.67,9.7
10.7,0.9981,0.62,9.5
10.2,0.998,0.66,12.5
10.2,0.998,0.66,12.5
8,0.9973,0.54,9.4
8.4,0.9958,0.52,11
7.9,0.9963,0.74,11.7
11.9,0.9992,0.84,12.2
8.9,0.9948,0.7,12.5
7.8,0.9974,0.64,10.3
12.4,1.0008,1,11.5
12.2,1,1.18,9.2
10.6,0.9972,0.87,11.3
10.9,0.9982,0.75,9.8
10.9,0.9982,0.75,9.8
11.9,1.0006,0.78,10.7
7,0.9979,0.81,9.9
6.6,0.9955,0.89,12.3
13.8,0.9986,0.93,12
9.6,0.9979,0.92,10
9.1,0.9994,0.86,9.4
10.7,1.0004,0.98,9.9
9.1,0.9994,0.83,9.4
7.7,0.9974,0.73,9.3
13.5,1.0018,0.77,13
6.1,0.9912,0.59,11.9
6.7,0.9955,0.61,12.8
11.5,1.0001,0.88,11
10.5,0.997,0.75,11.7
11.9,1,0.85,10.4
12.6,1.001,0.68,9.8
8.2,0.9973,0.7,9.4
8.6,0.9982,0.91,9.9
11.9,0.9992,0.56,10
12.5,0.9988,0.87,10.2
12.8,1.0022,0.73,10
10,0.9979,0.93,11.8
12.8,1.0022,0.73,10
10.4,1,0.69,9
10.3,0.9998,0.64,9.4
9.4,0.9962,1.13,12
6.9,0.9975,0.78,9.9
7.9,0.9967,0.87,8.7
9.1,0.9967,1.04,10.6
7.4,0.9959,0.63,9.2
14,1.0014,0.81,10.8
11.5,0.9984,0.83,11.8
11.5,1.0003,1.11,11
9.4,0.9962,1.13,12
11.4,0.9988,0.99,13.3
8.3,0.9979,0.7,10.8
8.3,0.9974,0.8,9.4
13.7,1.0014,0.8,10
8.3,0.9974,0.8,9.4
8.3,0.9974,0.8,9.4
7.7,0.998,0.74,9.2
7.4,0.9979,0.76,9.7
7.8,0.9981,0.74,9.2
8.3,0.9972,0.54,9.6
7.8,0.9981,0.74,9.2
9.6,0.9982,0.7,10
5.6,0.9924,0.82,12.9
13.7,1.0014,0.8,10
9.5,0.998,0.51,9.5
8.4,0.997,0.54,9.1
12.7,0.9997,0.57,9.9
12,1.0004,0.6,13
6.6,0.9994,0.53,9.9
11.5,0.9988,0.65,11
11.5,0.9988,0.65,11
8.7,0.9963,0.55,9.4
6.6,0.9994,0.53,9.9
7.7,0.9949,0.47,10.8
12.2,1,0.61,10.5
11.4,0.9994,0.63,10.5
7.7,0.9974,0.61,9.1
8.7,0.9966,0.76,10.1
9.8,0.9981,0.65,10.8
12,0.9996,0.63,10.8
10.4,0.997,0.7,11.3
12.5,0.9981,0.57,9.6
9,0.9987,0.62,9.5
9.1,0.9987,0.62,9.5
7.1,0.9966,0.64,9.3
9.9,0.9986,0.82,11.7
8.8,0.9982,0.61,9.5
8.6,1.0014,1.07,9.3
10.6,0.997,0.66,11.7
7,0.9956,0.48,10.5
11.9,0.9996,0.76,10.4
6.8,0.9976,0.68,9.9
9.5,0.9972,0.73,11.8
6.6,0.9952,0.56,12.3
7.7,0.9955,0.44,10.9
10.5,0.9978,0.9,11
7.7,0.9955,0.44,10.9
6.6,0.9952,0.56,12.3
6.4,0.9949,0.49,11.4
9.5,0.9988,0.56,10.6
9.1,0.9978,0.6,9.3
12.8,0.9997,0.6,10.4
10.5,0.9978,0.9,11
7.8,0.9974,0.56,9.2
11.9,0.9958,0.65,12.8
12.3,1.0004,0.49,9.5
10.4,0.9996,0.89,9.9
12.3,1.0004,0.49,9.5
8,0.9958,0.56,10.2
11.1,0.9986,0.66,11.2
10.4,0.9996,0.89,9.9
7,0.9951,0.6,9.3
12.6,0.9987,0.82,9.8
11.9,0.9988,0.68,11.3
15.6,1.0032,0.68,11.2
10,0.9963,0.63,11.6
5.3,0.9934,0.84,12.5
9.5,0.9986,0.56,10.1
12.5,0.9996,0.73,10.5
9.3,0.9968,0.72,11.2
8.6,0.9967,0.56,10.2
11.9,0.9994,0.61,10.8
11.9,0.9994,0.61,10.8
8.4,0.9979,1.06,9.1
6.8,0.9968,0.63,10
10.4,0.9998,0.74,11.2
7,0.9952,0.63,11.1
11.3,0.9988,0.69,13.4
8.9,0.9986,0.58,10.3
9.2,0.9988,0.58,9.6
10.4,0.9998,0.74,11.2
11.6,1.0008,0.57,9
9.2,0.9976,0.61,11.3
8.3,0.9982,0.61,9.3
11,0.997,0.61,11.8
8.1,0.9972,0.53,9
11.5,0.9987,0.7,9.2
10,1.0006,0.91,9.7
10.3,0.9982,0.72,11.5
8.8,0.9947,0.79,14
11.4,1,0.62,9.2
8.7,0.9952,0.58,9.8
13,0.9996,0.61,10.6
9.6,0.997,0.71,11.4
12.5,0.9995,0.82,10.4
9.9,0.9971,0.79,10.6
10.5,0.9982,0.89,9.4
9.6,0.9988,0.6,10.2
9.3,0.998,0.7,9.7
10.4,0.9977,1.06,11
9.6,0.9988,0.6,10.2
9.4,0.9984,0.7,10.1
10.6,1.0026,0.66,9.2
9.4,0.9964,0.92,11.7
10.6,0.9986,1.05,9.4
10.6,0.9986,1.06,9.4
10.6,0.997,0.66,13.4
10.2,0.9976,0.47,10
10.2,0.9976,0.47,10
10.2,0.9982,0.42,10
11.6,1.0002,0.92,10.8
9.3,0.9984,0.75,10.2
9.3,0.9984,0.67,10.6
9.2,0.9952,0.79,13.3
8.9,0.995,0.9,13.4
8.7,1.0002,0.74,11.6
6.5,0.9952,0.55,12.1
10.7,0.9972,0.65,11
7.8,0.9984,0.65,9
7.2,0.9966,0.79,11.1
10.7,0.9972,0.65,11
8.7,1.0002,0.74,11.6
7.8,0.9984,0.65,9
10.4,0.999,0.85,12
10.4,0.999,0.85,12
10.5,0.9976,1.04,10.9
10.5,0.9976,1.05,10.8
10.2,0.9968,0.78,12.5
10.4,0.9976,1.02,10.8
11.2,1,0.71,9.5
10,0.9994,0.63,10.2
13.3,0.9986,0.68,11.4
12.4,0.9978,0.61,9.5
10,0.9994,0.63,10.2
10.7,0.998,0.81,9.7
10.5,0.9973,0.66,11.8
10.5,0.9973,0.66,11.8
8.5,1.001,1.14,9.3
12.5,1.001,0.74,11.9
10.4,0.9994,0.63,8.4
10.9,0.9972,0.68,11.7
7.3,0.9966,0.78,11
9.8,0.9982,0.9,10
7.6,0.998,0.64,9.1
8.2,0.9979,0.99,9.8
9.3,0.9978,0.55,9.4
9.2,0.9976,0.64,9.5
10.4,0.9998,0.67,9.9
7.3,0.9966,0.78,11
7,0.9962,0.77,11.4
8.2,0.9988,0.75,8.7
9.9,0.9974,0.57,9.4
9.1,0.999,0.87,10.3
11.9,1.0004,0.61,10.3
11.9,1.0004,0.61,10.3
10.3,0.9956,0.66,12.8
10,1,0.56,10
9.1,0.999,0.87,10.3
9.9,0.9974,0.57,9.4
8.1,0.9972,0.77,10.7
12.9,1.0014,0.66,12
11.2,0.9996,0.62,11.2
9.2,0.9988,0.67,9.6
9.5,0.9988,0.73,11
9.3,0.9966,0.59,9.9
11.2,0.9993,0.72,11
14.3,1.0008,0.79,8.4
9.1,0.9982,0.59,9.1
7.5,0.9983,0.78,9.5
10.6,0.9987,0.86,10.7
12.4,0.9994,0.75,10.4
9,0.9975,0.61,9.4
6.8,0.9958,0.56,9.5
9.4,0.998,0.73,10
9.5,0.998,0.74,10
5,0.9934,0.62,11.5
15.5,1.00315,0.74,11.1
15.5,1.00315,0.74,11.1
10.9,1.0002,0.56,11.7
15.6,1.00315,0.74,11.1
10.9,1.0002,0.56,11.7
13,1.0021,0.68,12.7
12.7,0.9994,0.57,11.4
9,0.9978,0.58,9.2
9,0.9982,0.61,9.2
7.6,0.9971,0.61,10.1
13,1.0021,0.68,12.7
12.7,0.9994,0.57,11.4
8.7,0.9991,0.6,9
8.7,0.9991,0.6,9
9.8,0.999,0.79,10.7
6.2,0.9946,0.57,11.7
11.5,1.0003,0.91,11
6.2,0.9946,0.57,11.7
10.2,0.9978,0.61,10.4
10.5,0.9991,0.56,9.6
10.6,0.9992,0.7,10
12.3,0.9993,0.8,10.2
9.9,0.9978,0.52,10
8.8,0.9982,0.6,9.5
8.8,0.9982,0.6,9.8
10.6,0.9976,0.51,9.8
12.3,1.0002,0.44,9.6
12.3,1.0002,0.44,9.6
11.7,1,0.43,9.2
12,0.9976,0.66,9.9
11.8,1.0002,0.76,10.7
7.6,0.998,0.66,9.6
11.1,0.9986,1.02,10.6
7.3,0.9967,0.59,9.3
5,0.9917,0.74,14
10.2,0.9976,0.74,10.5
9,0.9987,0.57,9.7
6.6,0.9922,0.5,11.5
9,0.9987,0.57,9.7
9.9,1.0004,0.58,9
7.9,0.9978,0.53,9.5
8.9,0.9998,0.57,9.3
12.4,0.9994,0.6,9.3
11.9,0.998,0.63,10
8.5,0.9967,0.48,9.8
12.7,1,0.7,9.3
8.2,0.9962,0.47,10
13.2,1.0006,0.56,9
7.7,0.9975,0.52,9.3
13.2,1.0006,0.56,9
8.3,0.9984,0.62,9.1
8.3,0.9984,0.59,9.2
9.4,0.9973,0.79,12.2
8.8,0.9982,0.53,10.5
10.1,1.0026,0.64,10.4
6.3,0.9956,0.52,12.7
8.8,0.9983,0.54,9.2
13.2,1.0006,0.54,9.4
7.5,0.9965,0.6,10
8.2,0.9962,0.74,9.8
9.6,0.9997,0.57,9.7
9.6,0.9997,0.57,9.7
11.5,0.9982,0.93,9.8
11.4,1.0006,0.7,10.2
11.3,0.9988,0.8,9.3
8.3,0.9976,0.61,9.4
8.2,0.9976,0.62,9.4
10,0.9974,0.55,9.5
7.9,0.9974,0.96,12.1
6.8,0.9997,0.72,10.2
6.8,0.9997,0.72,10.2
8.8,0.9988,0.49,9.1
8.8,0.9988,0.49,9.1
8.7,0.9976,0.6,9.3
7.6,0.9964,0.61,9.3
8.7,0.9976,0.6,9.3
10.4,0.9988,0.63,9.5
7.6,0.9964,0.57,10.5
10.1,1.001,0.64,11.3
7.9,0.9964,0.58,9.5
8.7,0.9954,0.55,9.7
9.6,0.9979,0.53,9.4
9.5,0.9978,0.53,9.4
7.7,0.9964,0.65,10.2
9.9,0.9991,0.62,9.4
9.5,0.9992,0.63,9.5
9.9,0.9991,0.62,9.4
9.5,0.9992,0.63,9.5
9.9,0.9991,0.62,9.4
7.8,0.9984,0.69,10.1
7.3,0.9972,0.63,10.1
8.3,0.9967,0.58,11
8.7,0.9964,0.67,11.2
6.7,0.9948,0.57,11.3
10.7,0.9986,0.5,9.6
9.8,1.001,0.67,11.2
15.9,0.9976,0.84,14.9
9.4,0.9976,0.54,12
8.6,0.9979,0.46,9.5
9.7,1.0004,0.61,9.4
10.7,0.9986,0.5,9.6
12,0.998,0.68,10.5
7.2,0.9973,0.81,9.6
7.1,0.997,0.57,11
7.2,0.9973,0.81,9.6
7.5,0.9978,0.64,9
7.2,0.9972,0.7,9.6
10.1,0.9974,0.79,10.2
12.1,1,0.66,10.2
9.4,0.9981,0.56,9.7
8.3,0.998,0.6,9.5
11.3,0.9988,0.66,9.2
10,0.9966,0.57,11
11.3,0.9988,0.66,9.2
6.9,0.9959,0.58,10
8.2,0.9968,0.52,9.5
9.8,0.998,0.53,9.5
8.2,0.9968,0.52,9.5
10.8,0.9984,0.67,9.3
9.3,0.9984,0.65,10.2
10.8,0.9984,0.67,9.3
8.6,0.9979,0.48,9.9
8.3,0.9983,0.53,10
10.8,0.9972,0.54,9.6
13.3,1.0004,0.49,9
8,0.9962,0.49,10.2
8.5,0.998,0.54,9.8
8.1,0.997,0.56,11.3
9.8,0.998,0.48,9.4
8.1,0.997,0.56,11.3
7.1,0.997,0.6,9.1
9.1,0.9998,0.59,9.7
7.7,0.9962,0.47,9.4
8.1,0.9976,1.05,9.4
7.4,0.9966,0.54,10.7
9.2,0.9998,0.54,9.8
8.6,0.9979,1.17,9
9,0.9984,0.62,9.4
9,0.9984,0.61,9.4
5.1,0.9921,0.62,12.8
7,0.9972,0.67,9.5
7,0.9972,0.67,9.5
9.4,1.0001,0.53,9.7
11.8,0.9986,0.62,10.8
10.6,0.9984,0.57,10.1
7,0.9972,0.67,9.5
7,0.997,0.67,9.4
7.5,0.9972,0.7,9.6
9.1,0.998,0.54,9.7
8.4,0.999,0.49,9.9
7,0.9956,0.47,10
7.4,0.9966,0.51,10.5
7.8,0.996,0.61,11.6
9.7,0.9983,0.66,10
10.6,0.9985,0.57,10.1
8.9,0.9998,0.61,9.5
8.7,0.9992,0.45,9.4
8,0.9976,0.46,9.4
9.9,0.998,0.51,9.8
7.2,0.9967,0.48,9.2
8,0.9976,0.46,9.4
7.6,0.9968,0.57,10
8.4,0.9976,0.44,9.6
7.1,0.9976,0.54,9.5
8.4,0.9976,0.44,9.6
8.9,0.9982,0.53,9.2
7.6,0.9968,0.59,10
7.5,0.9958,0.6,11.2
9,0.9976,0.55,10.4
8.1,0.9994,0.72,11.1
6.4,0.997,0.68,9.5
6.4,0.997,0.68,9.5
6.4,0.995,0.49,12.7
9.5,0.9982,0.67,9.6
8.9,0.9994,0.52,11.5
7.3,0.9966,0.47,9.6
7,0.998,0.6,9.5
7.7,0.9987,0.62,9.3
7.7,0.9963,0.5,9.5
7.7,0.9963,0.5,9.5
8.2,1.0002,0.65,9.3
9,0.9983,0.56,9.2
9,0.999,0.6,9.3
8.3,0.9965,0.68,11.5
9.2,0.99788,0.57,9.5
6.5,0.9972,0.65,9.2
11.6,1.00024,0.53,10
11.1,1.0001,0.51,9.5
7.3,0.99768,0.73,9.5
8.2,0.9978,0.47,9
8.6,0.99782,0.48,9.4
7.2,0.99761,0.72,9.6
7.3,0.99768,0.73,9.5
8.3,0.99803,0.55,9.5
8.3,0.99803,0.55,9.5
7.6,0.99785,0.61,9.4
8.3,0.99803,0.55,9.5
7.8,0.99656,1.06,9.1
7.8,0.99525,0.43,10.7
6.3,0.99488,0.46,11.2
8.1,0.99656,0.5,9.8
8.1,0.99656,0.5,9.8
8.8,0.99823,0.52,9.2
9,0.99779,0.57,9.7
9.3,0.99738,0.42,9.6
8.8,0.99701,0.53,10
9.3,0.99738,0.42,9.6
9.1,0.99888,0.55,9.5
9.2,0.99888,0.54,9.5
8.8,0.99738,0.54,9.4
7.5,0.99938,0.62,9.5
7.1,0.99744,0.53,9.7
7.9,0.99668,0.54,9.6
7.1,0.99744,0.53,9.7
9.4,0.9978,0.55,9.4
9.5,0.99782,0.55,9.4
7.9,0.9973,0.92,9.5
7.9,0.99727,0.91,9.5
7.2,0.99586,0.46,10
6.9,0.99612,0.6,10.3
6.9,0.9961,0.59,10.3
8.3,0.99788,0.61,10.5
7.1,0.99745,0.6,9.8
7,0.99676,0.6,9.4
6.5,0.99732,0.65,9.8
9,0.99814,0.53,10
6.5,0.99732,0.65,9.8
7.1,0.99746,0.59,9.8
9.9,0.9982,0.5,9.5
9.9,0.9982,0.5,9.5
10,0.9991,0.56,10.1
10,0.9991,0.56,10.1
8.6,0.998,0.52,9.3
7.4,0.99708,0.68,9.7
8.8,0.99818,0.54,9.6
7.1,0.99745,0.6,9.7
7.7,0.99639,0.56,10.8
10.1,0.99531,0.53,12.5
10.8,0.99786,1.18,10.2
8.7,0.99746,0.74,9.6
9.3,0.99526,0.81,10.8
9.4,0.9987,0.52,10.7
9.4,0.9987,0.52,10.7
7.2,0.99641,0.51,9.4
8.6,0.99735,0.44,10
5.1,0.99264,0.94,12.9
7.7,0.9971,0.66,9.6
8.4,0.99682,0.57,9.9
8.2,0.99356,0.7,12.8
8.4,0.99386,0.71,12.5
8.2,0.99356,0.7,12.8
7.4,0.99702,0.86,9.2
7.6,0.99693,0.55,10.3
7.3,0.99562,0.47,10.5
12.9,1.00012,0.68,10.9
10.8,0.99818,0.71,10.8
6.9,0.99462,0.58,11.4
12.6,0.99939,0.76,11.3
10.8,0.99818,0.71,10.8
9.8,0.9984,0.58,10.5
10.8,0.99545,0.73,11.9
7.1,0.99632,0.45,9.4
9.1,0.99976,0.54,9.6
7,0.99606,0.6,9.7
4.9,0.99154,0.74,14
6.7,0.9973,0.64,9.8
6.7,0.9973,0.64,9.8
7.1,0.99682,0.53,10.3
7.1,0.99624,0.49,10.7
7.5,0.9951,0.64,11
7.1,0.99624,0.49,10.7
7.8,0.99417,0.74,12.7
5.9,0.99376,0.77,11.1
7.5,0.99632,0.55,10.9
5.9,0.99376,0.77,11.1
10.4,0.99832,0.86,9.9
11.6,0.99836,0.86,9.9
8.8,0.99694,0.47,9.4
7.6,0.99655,0.51,9.3
6.7,0.99064,0.39,11.7
6.7,0.99064,0.39,11.7
10.1,0.99672,0.83,11.2
6,0.99647,0.47,10
11.1,0.99736,0.77,12.1
6.6,0.99629,0.63,10.3
10.6,0.99708,0.72,10.9
7.1,0.9963,0.62,9.4
9.9,0.9959,0.83,10.6
6.4,0.99689,0.66,9.8
6.4,0.99689,0.66,9.8
7.4,0.9977,0.7,9.9
6.4,0.99689,0.66,9.8
6.4,0.99689,0.66,9.8
9.3,0.99708,0.55,9.5
9.3,0.99708,0.55,9.5
8,0.99801,1.07,9.7
9.3,0.99652,0.73,10.9
9.3,0.99652,0.73,10.9
7.6,0.99538,0.71,11.7
9.3,0.99652,0.73,10.9
8.2,0.99594,0.78,11.3
11.7,0.99686,0.67,10.6
6.8,0.99438,0.82,11.2
7.2,0.99746,0.54,9.5
5.8,0.99357,0.6,11.5
7.5,0.99628,0.44,10.4
7.2,0.99746,0.53,9.7
7.2,0.99746,0.54,9.5
7.2,0.99748,0.54,9.7
6.8,0.99438,0.83,11.3
