"altura","genero","contextura_madre","altura_madre"
174.6,"M","mediana",156.1
162.5,"F","mediana",158
172.1,"M","mediana",158.3
170.5,"M","mediana",159.1
171.4,"M","mediana",161.1
174,"M","mediana",161.3
163.3,"F","alta",163.8
164.2,"F","mediana",158.1
161,"F","mediana",157.1
155.2,"F","bajita",153.5
158.7,"F","mediana",159.6
171.3,"M","mediana",160.2
168.3,"M","mediana",160.1
173,"M","mediana",158.4
158.8,"F","bajita",155.2
172,"M","mediana",158.1
157.9,"F","mediana",159.5
152.8,"F","mediana",158.4
167.2,"M","bajita",153.6
159.2,"F","mediana",156.2
173.1,"M","alta",162.9
173.6,"M","alta",165.7
170.4,"M","bajita",153.5
173.9,"M","alta",164.7
173,"M","alta",162.8
160.8,"F","mediana",159.4
172,"M","mediana",161.5
174.1,"M","mediana",156.5
164.2,"F","alta",162.4
173.6,"M","mediana",160.4
181.1,"M","alta",164.4
175.4,"M","mediana",159.6
160.1,"F","mediana",159.5
166.7,"M","bajita",155
177.7,"M","alta",162.7
174.9,"M","mediana",159.1
170.3,"M","bajita",155.7
171.4,"M","alta",163.2
161.8,"F","mediana",157.7
177.3,"M","mediana",158.3
160.2,"F","mediana",157.6
168.1,"F","mediana",159.5
164.3,"F","mediana",161.4
157.1,"F","mediana",158.2
177.4,"M","alta",164.2
161.5,"F","mediana",158.3
159.3,"F","mediana",159.1
158.1,"F","mediana",159.9
164.3,"F","mediana",161.7
167.5,"M","mediana",157.9
170.7,"M","mediana",160.1
169.5,"M","mediana",159.5
177.7,"M","alta",162.1
167.5,"M","bajita",155.7
166,"F","mediana",161.5
173,"M","mediana",157.3
160.1,"F","mediana",159.6
154.7,"F","bajita",153.5
156.6,"F","mediana",159.4
175.2,"M","mediana",157.9
157.5,"F","mediana",159.1
175.2,"M","alta",164
169.2,"M","mediana",158
176,"M","alta",162.6
170.7,"M","mediana",160.2
158.8,"F","mediana",160.9
160.9,"F","mediana",160
157.5,"F","bajita",155.1
173.2,"M","mediana",161.5
158.8,"F","mediana",160.2
174.6,"M","mediana",159.3
154.8,"F","mediana",157.6
171.9,"M","mediana",156.8
172.4,"M","mediana",159.3
160.5,"F","alta",163
176.9,"M","mediana",160.3
162.8,"F","alta",163.8
171.3,"M","mediana",161.1
170.9,"M","mediana",159.1
166.6,"M","bajita",155.8
172.8,"M","mediana",159.2
163.2,"F","mediana",161.7
172.2,"M","bajita",152.3
178.1,"M","mediana",159.8
160.8,"F","mediana",160.5
160,"F","bajita",152.8
171.1,"M","bajita",153.5
172.1,"M","mediana",157.6
156.3,"F","mediana",159.8
170.4,"M","mediana",157.5
156.8,"F","mediana",158.9
168.8,"M","mediana",160.4
171.8,"M","mediana",159.1
153.2,"F","bajita",152.1
162.9,"F","alta",162.7
153.2,"F","bajita",154.6
174.4,"M","mediana",159.2
159.1,"F","mediana",159.5
157.2,"F","mediana",161.2
174.5,"M","mediana",157.5
158.8,"F","mediana",160.3
171,"M","mediana",156.8
153.4,"F","bajita",154.8
168.6,"M","mediana",159.3
172,"M","mediana",160.1
155.6,"F","mediana",157
159.5,"F","mediana",159
158.5,"F","mediana",158.8
171.3,"M","bajita",153.6
154.3,"F","mediana",156.3
154.3,"F","mediana",156.6
160.1,"F","mediana",159.7
170.6,"M","mediana",160.8
173.8,"M","mediana",161.2
169.7,"M","mediana",160.5
170.7,"M","alta",165
161.3,"F","alta",162.8
172.8,"M","alta",162.5
168.7,"M","mediana",157.3
171.1,"M","mediana",159.9
172.2,"M","mediana",157.6
158.1,"F","mediana",160.4
158,"F","mediana",158.6
159.1,"F","mediana",157.4
171.3,"M","alta",162.5
160.9,"F","alta",165
171.4,"M","mediana",159.5
167.9,"M","mediana",159.8
172.6,"M","alta",163.7
161.2,"F","mediana",159.7
161.7,"F","bajita",154.1
171.9,"M","mediana",158.5
171.3,"M","mediana",156.2
158.7,"F","mediana",156.2
174.6,"M","alta",165.4
172.2,"M","mediana",157.1
170.8,"M","bajita",155.2
158.1,"F","bajita",152.7
173,"M","bajita",154.8
175.2,"M","alta",165.5
173.3,"M","mediana",161.2
159.6,"F","mediana",160.5
160.8,"F","alta",164.5
159.7,"F","mediana",158.8
157.4,"F","mediana",158.1
156,"F","mediana",156.5
157.8,"F","mediana",157.3
161.7,"F","mediana",160.3
173.8,"M","alta",162.3
163.2,"F","mediana",160.4
168.8,"M","bajita",154.7
171.6,"M","bajita",154.5
159.2,"F","mediana",158.6
172.9,"M","mediana",158.6
174.3,"M","mediana",160.7
171.1,"M","mediana",156.1
160,"F","alta",162.5
160.5,"F","mediana",159.3
161.9,"F","mediana",161.9
159.5,"F","mediana",158.7
157.6,"F","bajita",155.2
171.8,"M","mediana",158.9
168.3,"M","mediana",157.8
158.1,"F","bajita",154.8
164.4,"F","alta",167.8
175.7,"M","mediana",160.9
162.5,"F","bajita",155.5
173.8,"M","alta",162.3
174.2,"M","alta",162.6
158.8,"F","bajita",154.2
170.3,"M","mediana",159.2
170.6,"M","mediana",157.3
163.4,"F","mediana",160.8
170,"M","bajita",154.9
172,"M","mediana",156.8
173.4,"M","alta",163.2
161,"F","mediana",157.8
167.7,"M","mediana",159.4
171.5,"M","mediana",159.3
172.5,"M","bajita",154.4
160,"F","mediana",158.6
154.3,"F","mediana",156.8
155.1,"F","bajita",153.3
172.2,"M","mediana",158.2
174.3,"M","mediana",157.7
174.9,"M","mediana",161.7
156.8,"F","mediana",160.9
160.5,"F","alta",164
174.3,"M","mediana",158
163.2,"F","alta",163.4
158.2,"F","mediana",156.8
172.3,"M","mediana",160.6
159.7,"F","bajita",155.6
152.7,"F","bajita",153.6
170.5,"M","bajita",153.5
171.5,"M","mediana",157.6
159.6,"F","mediana",157.2
153.7,"F","mediana",161.3
167.6,"M","mediana",156
172.9,"M","mediana",160
171.4,"M","mediana",157.9
162.5,"F","mediana",158.8
172.3,"M","bajita",154.4
151.6,"F","mediana",159.2
160.9,"F","mediana",158.9
159.8,"F","mediana",157.3
172.8,"M","alta",162.5
175.2,"M","alta",163.5
156.3,"F","bajita",152.7
172.1,"M","mediana",158.1
159.5,"F","mediana",161.4
159.6,"F","mediana",160.7
162.2,"F","alta",165.9
157.7,"F","mediana",159.4
175,"M","mediana",161.7
165.9,"F","mediana",162
172.8,"M","mediana",159.2
161.3,"F","mediana",160
174.2,"M","mediana",161
158.2,"F","bajita",153.5
161.2,"F","mediana",161.8
156.2,"F","mediana",158.5
168.7,"M","bajita",155.4
159.1,"F","mediana",159.8
174.2,"M","alta",162.7
161.1,"F","mediana",160.3
172.8,"M","mediana",157.6
173.7,"M","mediana",160
160.7,"F","alta",164.5
156.9,"F","mediana",159.9
162.7,"F","mediana",159.1
174.1,"M","mediana",158.9
173.8,"M","mediana",158.3
167.3,"M","mediana",157.1
172.6,"M","mediana",158.2
174.6,"M","alta",162.5
165.7,"M","bajita",154.5
154.2,"F","mediana",159.6
170.6,"M","alta",163.5
172.2,"M","alta",162.8
160,"F","mediana",162
166.7,"M","bajita",153.3
161.7,"F","mediana",158.1
170.6,"M","mediana",158.8
174.6,"M","mediana",160.8
170.5,"M","mediana",160.5
169.7,"M","mediana",160.7
173.5,"M","alta",162.9
160,"F","mediana",158.2
157.8,"F","mediana",159.4
152.4,"F","mediana",159.9
172.7,"M","mediana",160.2
156.7,"F","mediana",156.5
172.2,"M","mediana",158.6
157.2,"F","mediana",159.4
173.4,"M","mediana",160.6
175.2,"M","mediana",156
172,"M","mediana",158.3
162.8,"F","mediana",161.3
174.3,"M","mediana",161.6
174.9,"M","alta",162.9
169.6,"M","mediana",156.3
169.3,"M","mediana",156.3
155.7,"F","mediana",157.3
162.8,"F","alta",164.3
155.3,"F","mediana",158.3
161.4,"F","mediana",159.1
166.7,"F","alta",168.2
172.7,"M","bajita",154
175,"M","mediana",160.4
170.5,"M","alta",163.7
162.2,"F","mediana",160.5
164.1,"M","mediana",161.3
156.2,"F","bajita",155.9
158.3,"F","mediana",158.8
163.4,"F","alta",167
161.3,"F","mediana",157.1
159.1,"F","alta",163.9
175.2,"M","mediana",161.4
158.7,"F","mediana",160.8
150.2,"F","mediana",157.4
158.8,"F","mediana",157
158.1,"F","mediana",161.4
160.7,"F","mediana",161.3
174.2,"M","mediana",159.6
158.7,"F","mediana",158.6
158.3,"F","mediana",160
174.3,"M","alta",165.2
163.1,"F","mediana",156.9
159.1,"F","mediana",161.4
173.7,"M","mediana",156.6
162.5,"F","alta",165.1
172,"M","mediana",160.5
160.1,"F","mediana",158.5
155,"F","mediana",159.9
159,"F","mediana",157.8
170.2,"M","mediana",160
156.5,"F","bajita",154.8
169.9,"M","mediana",157.8
169.7,"M","mediana",156.7
176.2,"M","mediana",161.4
159,"F","mediana",157.9
169,"M","mediana",157.6
155.5,"F","bajita",155.2
160.1,"F","mediana",159.9
168.3,"M","mediana",156.1
172.7,"M","alta",163.4
164.2,"F","alta",163.8
171,"M","mediana",158.3
157.1,"F","mediana",158.3
159.9,"F","mediana",156.8
161.7,"F","mediana",161.4
160.5,"F","mediana",159.6
173.1,"M","mediana",157.2
160.5,"F","alta",164.6
153.4,"F","bajita",152
172.7,"M","mediana",158.4
163.4,"F","alta",167.4
169.4,"M","bajita",155.8
158.1,"F","alta",163.6
171.7,"M","alta",162.9
162,"F","alta",163.9
154.8,"F","bajita",152.7
158.1,"F","mediana",161
156.2,"F","mediana",161.3
159.9,"F","mediana",160.3
169.7,"M","mediana",158.3
177.4,"M","mediana",158.2
157.8,"F","mediana",156.5
171.6,"M","mediana",160.4
177.6,"M","alta",162.6
162,"F","mediana",161.5
175.1,"M","mediana",156.3
172.3,"M","mediana",161.4
157.3,"F","alta",162.5
158.1,"F","alta",162.1
160.6,"F","mediana",161.4
171.2,"M","mediana",159.2
175.7,"M","mediana",160.8
155.9,"F","mediana",158
162.2,"F","mediana",157.2
158.4,"F","mediana",158.4
162.6,"F","mediana",161.3
165.9,"F","alta",162.6
175.9,"M","alta",162.7
153.5,"F","mediana",160.3
175.8,"M","mediana",158
156.2,"F","mediana",156
171.8,"M","bajita",155.9
156.7,"F","bajita",154.6
160.4,"F","mediana",160.6
171.5,"M","mediana",159
158.3,"F","mediana",157.1
163.7,"F","alta",164.5
158.5,"F","mediana",157.8
152.5,"F","bajita",152.2
170.6,"M","mediana",160.2
160.9,"F","mediana",157
157.7,"F","mediana",158.5
174.2,"M","mediana",157
159.4,"F","mediana",157.2
160.4,"F","mediana",160.1
155.9,"F","mediana",159.6
171.6,"M","mediana",161.8
