"precio","tiempo","varie"
160.14,14.19,1
198.63,19.15,1
150.41,15.45,1
202.5,14.36,1
168.63,11.85,1
187.9,17.91,1
189.68,16.17,1
163.65,12.4,1
192.39,16.32,1
158.05,16.08,1
195.91,13.97,1
167.4,12.43,1
178.12,15.66,1
106.55,10.5,1
226.28,13.31,1
193.04,14.46,1
188.02,9.57,1
129.19,20.36,1
211.67,20.84,1
210.64,15.42,1
213.55,21.09,1
162.99,14.78,1
150.28,20.7,1
153.59,8.94,1
173.41,13.45,1
175.34,16.03,1
192.38,14.53,1
171.9,12.53,1
245.08,28.68,1
183.58,13.15,1
179.23,12.91,1
235.42,18.99,1
192.13,17.63,1
166.5,18.75,1
172.13,14.93,1
196.97,19.28,1
248.35,23.61,1
172.43,17.64,1
177.62,11.12,1
170.12,10.39,1
148.45,6.38,1
229.47,18.75,1
195,11.4,1
172.22,14.7,1
128.32,10.14,1
198.15,12.68,1
200.73,14.26,1
180.45,12,1
189.27,21.41,1
191.05,17.98,1
179.01,15.25,1
154.09,15.74,1
206.63,15.2,1
172.63,19.45,1
137.14,14.58,1
194.11,13.71,1
195.24,8.87,1
102.27,11.98,1
160.96,12.59,1
215.17,18.27,1
192.47,14.44,1
204.52,18.34,1
184.81,17.99,1
165.75,10.2,1
177.49,11.96,1
186.76,11.4,1
152.49,11.13,1
215.96,11.75,1
175.52,18.33,1
184.03,13.86,1
249.19,24.14,1
186.47,13.58,1
172.27,11.11,1
230.88,23.07,1
135.59,7.28,1
138.93,10.08,1
215.35,12.05,1
233.14,23.97,1
161.82,10.29,1
159.07,12.77,1
204.38,17.35,1
176.93,17.61,1
174.08,18.34,1
244.69,17.44,1
154.32,22.7,1
134.42,6.67,1
187.34,12.57,1
154.26,9.74,1
209.21,14.95,1
227.58,20.7,1
239.41,18.77,1
152.98,7.78,1
133.19,9.65,1
210.33,19.37,1
202.78,19.6,1
287.18,30.78,1
170.4,10.2,1
195.09,15.91,1
212.79,20.11,1
237.7,14.06,1
159.86,11.26,1
195.8,21.95,1
128.6,8.72,1
112.63,5.98,1
172.22,19.3,1
182.19,16.61,1
149.75,9.44,1
188.98,20.75,1
204.85,18.73,1
193.17,8.17,1
197.81,13.4,1
146.12,10.01,1
156.97,12.69,1
170.83,12.31,1
169.75,12.36,1
208.9,10.22,1
149.48,15.46,1
187.82,17.93,1
159.53,20.42,1
183.78,13.97,1
220.17,20.34,1
242.57,17.86,1
221.45,17.67,1
250.34,20.47,1
208.75,19.77,1
150.44,10.66,1
219.85,15.8,1
151.45,8.71,1
254.34,14.51,1
225.84,25.45,1
208.64,19.43,1
193.22,12.09,1
270.71,21.52,1
157.82,17.01,1
223.73,19.97,1
187.9,19.48,1
211.19,25.33,1
186.29,11.98,1
166.3,8.49,1
146.62,8.39,1
194.46,18.59,1
185.38,20.79,1
183.87,16.16,1
179.41,11.4,1
214.49,25.22,1
141.31,9.14,1
243.14,19.3,1
182.3,16.83,1
191.56,15.47,1
150.79,10.61,1
181.17,16.33,1
166.91,17.93,1
227.97,15.19,1
286.19,21.93,1
150.6,5.13,1
197.99,21.14,1
187.7,21.95,1
163.95,8.91,1
198.74,11.86,1
169.14,16,1
218.55,17.74,1
172.74,12.62,1
277.72,22.23,1
154.2,6.53,1
212.2,20.35,1
140.09,13,1
198.24,21.17,1
219.88,20.25,1
264.64,24.42,1
181.52,10.79,1
137.05,10.24,1
200.05,22.07,1
238.71,29.12,1
172.36,21.61,1
169.7,14.35,1
249.49,23.98,1
180.5,11.05,1
143.4,15.91,1
193.33,17.44,1
147.35,11.59,1
208.88,19.77,1
175.78,16.82,1
192.24,23.04,1
147.6,11.03,1
176.71,17.51,1
192.26,10.11,1
222.72,17.73,1
128.89,9.47,1
197.77,22.28,1
163.33,15.94,1
172.74,20.57,1
151.23,8.97,1
143.57,9.96,1
211.16,15.92,1
191.16,13.08,1
178.73,15.57,1
175.81,14.29,1
203.57,19.11,1
180.08,17.73,1
141.07,14.25,1
200.69,18.09,1
192.89,15.48,1
166.37,13.98,1
200.65,12.78,1
133.59,16.28,1
248.34,20.19,1
206.77,15.25,1
202.69,17.88,1
204.35,18.45,1
200.16,14.33,1
155,18.23,1
176.08,9.39,1
134.51,13.04,1
188.66,28.18,2
173,30.13,2
175.56,21.2,2
203.95,30.36,2
169.83,21.26,2
117.5,18.42,2
187.82,31.77,2
186.97,30.71,2
125.3,21.31,2
146.22,20.55,2
80.64,19.68,2
202.44,31.52,2
152.04,29.45,2
190.42,26.25,2
176.76,28.25,2
237.77,32.5,2
189.19,28,2
132.16,24.74,2
196.81,26.43,2
143.06,20.32,2
170.42,33.02,2
133.52,32.21,2
176.14,28.24,2
163.45,25.03,2
201.23,34.49,2
176.2,25.13,2
203.33,25.47,2
143.76,22.07,2
162.19,26.77,2
236.71,33.51,2
111.88,23.52,2
179.3,25.59,2
144.6,20.7,2
171.49,21.9,2
191.5,32.57,2
168.97,29.26,2
188.53,30.48,2
152.64,31.52,2
246.54,32.29,2
161.78,28.86,2
70.9,18.27,2
114.83,21.68,2
112.11,22.37,2
157.82,20.89,2
163.05,21.51,2
200.35,32.13,2
198.1,21.36,2
146.33,25.85,2
147.67,25.2,2
171.09,28.91,2
123.47,23.24,2
183.56,32.88,2
141.97,22.25,2
155.91,17.73,2
177.04,28.53,2
183.28,31.45,2
147.82,23.59,2
205.38,30.72,2
208.37,32.17,2
114.14,20.2,2
151.46,22.12,2
108.92,18.06,2
144.97,24.76,2
179.98,23.62,2
212.83,35.67,2
186.62,26.59,2
189.09,25.98,2
145.98,31.08,2
215.12,33.59,2
179,32.84,2
143.84,25.15,2
79.04,13.65,2
118.46,18.06,2
117.15,23.21,2
176.81,32.47,2
153.74,30.44,2
152.21,22.69,2
220.95,28.39,2
186.55,28.94,2
172.73,31.93,2
228.78,31.46,2
158.78,22.73,2
134.09,21.47,2
206.61,34.09,2
191.6,24.7,2
128.48,22.67,2
127.67,20.67,2
121.24,20.56,2
126.58,25.18,2
124.75,16.68,2
208.91,27.17,2
175,26.82,2
150.99,23.36,2
210.98,19.47,2
116.23,25.62,2
101.4,18.31,2
229.91,26.53,2
143.84,16.16,2
151.51,24.48,2
172.41,24.23,2
195.22,27.97,2
190.55,29.65,2
152.3,30.06,2
168.55,14.43,2
163.26,29.59,2
175.7,23.29,2
163.32,26.29,2
181.56,23.67,2
63.82,13.93,2
263.74,29.79,2
169.72,25.33,2
159.81,23.77,2
174.15,24.45,2
222.47,31.48,2
192.06,27.25,2
175.05,20.85,2
118.55,24.03,2
230.82,21.62,2
149.42,31.14,2
155.69,24.57,2
168.84,29.43,2
181.42,33.68,2
175.19,25.83,2
192.71,31.42,2
183.18,28.07,2
159,30.95,2
185.08,27.52,2
179.84,25.18,2
139.8,27.38,2
185.06,27.01,2
175.79,19.07,2
160.76,27.11,2
166.33,27.7,2
145.9,25.77,2
133.12,26.49,2
173.88,27.97,2
89.65,24.69,2
126.34,23.98,2
204.21,28.51,2
149.83,27.59,2
157.52,13.02,2
182.67,27.1,2
192.73,21.88,2
179.7,27.59,2
113.28,23.55,2
142.14,21.99,2
109.53,20.01,2
138.98,23.56,2
183.16,31.89,2
167.59,13.21,2
169.52,27.3,2
208.24,33.33,2
180.4,25.81,2
165.36,30.38,2
117.3,18.99,2
225.25,33.75,2
204.9,30.74,2
220.26,25.7,2
194.64,28.34,2
234.26,23.54,2
186.76,33.05,2
174.64,23.94,2
173.88,25,2
62.32,17.13,2
187.35,29.67,2
227.87,33.76,2
206.74,35.84,2
180.63,29.67,2
150.07,25.29,2
123.21,19.34,2
136.54,23.94,2
165.15,24.12,2
181.22,29.57,2
170.09,23.21,2
191.9,25.92,2
137.53,23.89,2
99.24,21.8,2
172.14,25.46,2
237.37,32.32,2
210.08,35.15,2
191.83,27.84,2
163.71,27.8,2
220.8,33.87,2
160.92,27.93,2
132.02,17.06,2
183.18,30.02,2
167.6,19.46,2
214.14,35.64,2
208.69,31.52,2
108.12,21.99,2
217.53,33.87,2
117.26,17.42,2
139.13,14.06,2
186.13,23.94,2
158.33,20.25,2
125.82,19.67,2
129.23,14.13,2
103.22,18.24,2
145.87,27.71,2
248.6,33.43,2
189.6,28.77,2
200.11,33.16,2
159.92,27.82,2
191.45,19.77,2
178.34,26.76,2
187.28,38.2,2
167.89,27.62,2
139.38,17.93,2
152.47,29.22,2
212.61,34.93,2
195.47,29.35,2
132.29,20.45,2
152,27.02,2
117.25,23.56,2
235.14,31.73,2
185.32,26.51,2
164.69,23.59,2
118.47,21.56,2
197.06,33.42,2
145.28,16.27,2
165.41,25.2,2
176.81,28.93,2
227.57,29.52,2
148.44,19.4,2
95.83,18.75,2
152.75,25.74,2
171.7,24.97,2
115.63,26.91,2
118.63,19.7,2
154.24,28.58,2
157.32,27.67,2
201.75,19.68,2
124.65,24.74,2
159.02,23.59,2
150.78,25.75,2
166.71,22.43,2
127.41,24.3,2
159.15,24.3,2
168.52,24.15,2
158.01,23.03,2
145.68,25.73,2
148.99,25.85,2
165.59,27.9,2
147.55,24.5,2
210.74,30,2
160.97,22.38,2
112.54,25.32,2
146.5,25.83,2
184.89,28.29,2
140.36,24.36,2
131.59,24.94,2
220.95,35.48,2
138.05,29.52,2
155.63,22.34,2
160.36,25.71,2
195.89,29.51,2
149.05,28.64,2
173.51,26.65,2
197.6,26.99,2
203.49,26.89,2
166.89,21.13,2
203.07,22.13,2
188.82,30.36,2
126.64,17.94,2
187.05,29.47,2
122.21,22.11,2
175.57,28.21,2
124.31,17.88,2
181.75,23.07,2
126.41,24.13,2
150.07,25.41,2
183.49,28.22,2
195.83,35.95,2
173.73,19.57,2
202.43,29.16,2
203.09,25.89,2
167.24,25.02,2
201.87,33.99,2
176.56,24.1,2
127.4,24.39,2
137.79,18.09,2
171.29,26.72,2
182.62,21.26,2
133.37,19.03,2
219.47,30.17,2
158.57,31.87,2
80.85,11.07,2
208.7,33.22,2
200.07,28.45,2
109.2,20.56,2
169.8,28.08,2
158.6,23.52,2
186.08,29.53,2
89.42,16.47,2
134.42,20,2
146.89,25.57,2
150.85,21.27,2
219.99,32.95,2
184.14,26.23,2
145.26,16.76,2
131.47,22.82,2
150.17,26.41,2
199.12,28.27,2
166.73,27.82,2
165.39,29.4,2
160.54,23.59,2
213.47,33.53,2
168.21,25.99,2
226.42,34.51,2
181.85,32.77,2
127.78,13.1,2
194.56,30.05,2
155.85,21.37,2
244.48,36.11,2
185.02,28.69,2
170.27,24.41,2
164.63,30.06,2
154.3,26.62,2
173.76,26.54,2
139.79,27.07,2
168.71,25.81,2
159.58,24.01,2
180.64,22.72,2
179.96,33.01,2
194.92,30.08,2
202.95,31.96,2
219.61,35.52,2
161.38,20.93,2
191.64,22.54,2
179.81,23.15,2
222.28,29.54,2
178.26,24.69,2
145.17,18.13,2
102.38,30.11,2
163.5,24.66,2
163,24.28,2
139.13,18.74,2
142.33,14.08,2
164.84,23.31,2
151.25,22.17,2
151.86,18.99,2
190.02,32.06,2
143.45,21.78,2
166.64,30.45,2
176.2,29.87,2
176.59,32.52,2
121.39,19.45,2
173.2,23.86,2
254.73,36.47,2
196.79,21.01,2
216.47,36.46,2
184.34,26.06,2
215.03,30.68,2
237.61,32.23,2
211.84,35.99,2
233.54,31.96,2
205.25,36.44,2
127.57,13.54,2
149.6,31.96,2
165.96,18.17,2
194.82,29.46,2
206.55,22.73,2
153.22,20.67,2
178.81,24.69,2
134.7,23.64,2
226.32,37.22,2
156.8,21.65,2
187.11,27.33,2
185.26,19.42,2
120.03,17.44,2
182.49,31.19,2
138.04,19.95,2
153.73,27.21,2
123.81,21.43,2
172.55,26.41,2
111.51,16.87,2
181.5,33.16,2
153.14,16.8,2
190.13,31.95,2
154.87,24.85,2
171.14,30.34,2
183.15,29.33,2
145.78,27.03,2
140.68,20.92,2
174.42,20.09,2
141.01,20.4,2
191.13,19.07,2
181.24,23.79,2
201.16,30.61,2
144.28,17.27,2
128.33,22.5,2
132.58,27.03,2
173.93,18.41,2
214.66,32.31,2
179.13,27.86,2
212.5,34.76,2
200.77,31.6,2
152.64,25.95,2
169.67,23.58,2
139.19,24.03,2
194.32,31.2,2
153.21,24.11,2
169.87,28.13,2
197.05,19.85,2
186.72,23.09,2
194.55,35.67,2
154.36,23.07,2
185.24,25.71,2
146.72,20.1,2
136.88,27.93,2
205.64,31.38,2
141.44,25.92,2
223.46,30.29,2
150.26,20.12,2
143.81,22.63,2
170.41,30.81,2
135.29,32.36,2
145.27,22.97,2
159.06,21.66,2
127.01,29.18,2
160.1,20.65,2
182.96,23.16,2
171.34,32.31,2
208.12,23.09,2
200.96,25.54,2
171.39,26.91,2
142.29,20.57,2
171.53,34.85,2
184.86,24.82,2
192.41,30.53,2
148.9,18.82,2
179.05,30.3,2
99.79,15.46,2
182.2,28.24,2
197.99,31.77,2
132.83,24.7,2
237.01,34.99,2
130.09,17.85,2
171.99,28.89,2
168.36,18.11,2
132.27,18.87,2
235.38,31.33,2
203.75,35.32,2
139.56,23.31,2
196.59,35.64,2
222.46,32.61,2
146.08,17.25,2
196.82,31.54,2
199.21,28.97,2
169.83,25.18,2
162.44,23.97,2
176.98,24.63,2
148.91,25.85,2
161.69,23.07,2
170.02,26.46,2
136.93,16.62,2
140.44,19.79,2
110.48,21.67,2
131.12,20.39,2
177.13,25.62,2
194.65,30.6,2
179.65,23.29,2
257.44,34.42,2
196.99,29.66,2
173.1,31.36,2
169.54,19.42,2
194.98,27.99,2
169.38,26.27,2
176.5,26.3,2
169.54,27.48,2
183.65,17.14,2
201.94,27.35,2
157.57,20.52,2
195.92,26.64,2
117.42,17.44,2
164.23,25.33,2
160.58,24.03,2
130.56,31.11,2
177.18,22.17,2
175.84,26.1,2
217.17,33.02,2
169.21,21.98,2
125.75,18.88,2
167.67,31.48,2
180.78,24.64,2
180.95,28.47,2
161.91,20.58,2
196.32,33.7,2
126.49,19.79,2
150.13,24.76,2
175.66,25.29,2
158.14,23.5,2
169.19,23.22,2
161.75,27.71,2
182.27,27.49,2
172.16,22.24,2
185.27,15.68,2
156.79,27.43,2
147.16,23.05,2
217.59,28.47,2
168.26,33.42,3
116.23,34.13,3
133.57,26.21,3
155.7,40.59,3
133.12,38.41,3
131.43,31.1,3
161.07,42.23,3
111.37,33.03,3
147.04,36.39,3
182.56,36.83,3
114.85,32.99,3
185.05,37.1,3
175.55,36.74,3
138.91,38.8,3
100.07,35.4,3
132.89,38.93,3
155.15,41.73,3
149.71,37.04,3
172.74,35.69,3
112.69,29.88,3
135.35,28.53,3
147.67,33.85,3
181.99,37.29,3
113.25,28.4,3
242.26,47.82,3
144.38,39.24,3
115.73,37.53,3
185.49,38.69,3
128.96,29.15,3
125.85,38.96,3
194.88,46.76,3
115.22,32.57,3
142.63,33.27,3
170.93,40.19,3
107.47,35.99,3
192.93,40.14,3
138.17,40.94,3
132.67,34.78,3
186.35,41.9,3
161.5,37.57,3
140.89,35.66,3
177.87,38.02,3
167.56,38.6,3
94.57,29.62,3
125.68,31.2,3
137.93,39.35,3
186.15,35.03,3
138.7,37.75,3
135.29,36.55,3
100.87,35.47,3
174.45,38.14,3
158.17,40.3,3
101.79,27.34,3
165.51,34.38,3
142.62,33.86,3
162.74,37.44,3
199.2,42.83,3
165.44,40.03,3
131.69,39.75,3
160.12,35.03,3
85.85,31.42,3
185.74,36.73,3
115.89,36.17,3
165.59,32.77,3
144.05,26.33,3
121.25,29.97,3
111.86,36.37,3
98.41,38.3,3
86.84,33.55,3
146.77,35.09,3
153.92,36.91,3
189.26,35.04,3
140.27,36.34,3
189.86,37.54,3
135.58,37.2,3
229.15,44.98,3
167.17,37.46,3
134.4,28.55,3
146.98,35.47,3
167.01,32.34,3
196.89,42.5,3
166.79,32.74,3
163.55,35.11,3
141.23,40.78,3
156.46,37.84,3
134.94,31.39,3
220.62,41.24,3
188.45,41.61,3
185.43,43.3,3
154.61,30.38,3
147.29,41.12,3
188.04,32.63,3
153.21,34.22,3
181.06,31.64,3
146.53,32.36,3
134.16,38.62,3
160.17,37.6,3
152.3,35.68,3
124.47,34.93,3
174.48,36.05,3
148.7,36.4,3
207.55,37.4,3
134.45,35.02,3
148.01,34,3
132,39.15,3
102.34,37.01,3
193.54,42.26,3
87.7,26.32,3
120.95,30.21,3
145.21,29.5,3
114.3,34.24,3
148.63,33.62,3
131.41,34.96,3
203.43,42.2,3
160.18,39.86,3
127.2,33.13,3
135.11,28.76,3
115.5,28.36,3
150.53,33.48,3
202.64,42.43,3
116.65,26.37,3
182.44,38.73,3
122.03,32.36,3
149.91,41.08,3
125.99,27.85,3
121.2,32.75,3
168.31,34.01,3
139.17,33.12,3
115.31,32.02,3
175,34.88,3
94.36,28.79,3
99.18,33.3,3
154.62,34.39,3
212.81,40.28,3
124.06,33.5,3
118.2,27.69,3
164.36,38.54,3
77.78,31.76,3
139.45,38.16,3
140.9,38.44,3
238.09,53.94,3
213.5,41.24,3
106.93,33.18,3
127.35,34.54,3
120.55,37.49,3
185.62,42.75,3
106.15,37.71,3
119.21,34.71,3
180.11,30.1,3
122.1,39.41,3
155.55,31.06,3
169.76,37.95,3
156.02,39.59,3
150.97,38.61,3
183.84,37.38,3
101.12,37.46,3
134.94,42.07,3
93.12,30.72,3
194.1,30.06,3
138.04,33.19,3
174.47,38.14,3
170.37,42.13,3
160.74,40.96,3
198.44,37.83,3
129.95,29.64,3
191.55,45.27,3
132.82,34.1,3
217.3,38.09,3
183.42,39.59,3
91.82,25.63,3
121.77,37.87,3
144.83,41.81,3
156.86,37.11,3
141.13,46.6,3
144.97,37.78,3
119.49,30.38,3
218.8,44.52,3
170.14,41.37,3
111.65,35.52,3
129.87,33.69,3
128.13,25.59,3
197.46,39.35,3
206.55,40.06,3
133.34,31.61,3
159.43,39.84,3
159.99,41.06,3
169.93,39.32,3
188.69,38.94,3
141.52,37.55,3
116.91,30.55,3
166.31,40.81,3
164.81,44.57,3
156.74,35.21,3
166.3,43.06,3
131.19,34.34,3
93.57,30.43,3
143.07,40.29,3
154.74,43.14,3
135.04,39.18,3
113.34,27.75,3
162.71,40.54,3
139.04,31.68,3
114.4,30.72,3
131.84,26.44,3
172.85,45.61,3
122.4,34.04,3
163.31,33.96,3
186.06,41.67,3
175.32,37.36,3
194.72,39.81,3
107.21,34.11,3
126.25,26.98,3
89.11,30.44,3
104.98,30.98,3
170.92,36.01,3
147.85,37.83,3
132.93,36.6,3
190.76,34.28,3
163.01,37.44,3
110.58,31.45,3
169.15,32.22,3
183.99,37.48,3
200.04,40.83,3
217.73,45.43,3
233.37,51.87,3
124.15,41.89,3
137.52,32.41,3
121.27,29.16,3
132.69,40.16,3
177.18,35.97,3
155.83,43.43,3
135.18,28.18,3
111.45,30.58,3
126.02,30.8,3
137.66,28.43,3
163.44,37.67,3
150.02,44.28,3
189.18,31.22,3
127.49,36.82,3
142.1,36.46,3
84.94,29.95,3
116.52,31.55,3
147.11,34.57,3
137.7,30.12,3
124.87,34.31,3
195.82,38.57,3
212.96,38.92,3
190.53,42.17,3
170.09,31.3,3
151.85,38.68,3
108.9,29.23,3
138.46,32.09,3
170.07,44.99,3
187.57,39.77,3
116.88,31.23,3
119.92,37.17,3
77.37,33.79,3
140.34,36.09,3
152.06,31.83,3
199.8,41.43,3
145.41,33.07,3
157.01,34.51,3
138.01,37.37,3
148.37,37.47,3
111.81,25.26,3
99.45,30.15,3
177.83,42.51,3
119.42,33.45,3
133.23,32.07,3
99.58,30.16,3
133.39,40.6,3
161.65,36.1,3
77.81,28.63,3
195.92,49.15,3
83.03,30.68,3
233.46,41.19,3
110.83,29.31,3
139.3,33.15,3
108.92,37.19,3
199.57,40.71,3
139.63,33.27,3
137.53,36.58,3
201.35,34.99,3
178.13,35.54,3
131.76,37.29,3
265.93,51.81,3
96.96,29.53,3
140.66,28.82,3
131.78,31.33,3
149.47,40.41,3
133.1,33.92,3
151.76,35.53,3
175.79,44.34,3
212.7,38.95,3
160.48,43.17,3
150.51,35.03,3
159.05,37.07,3
122.5,28.21,3
100.45,33.52,3
170.71,35.61,3
140.55,38.02,3
200.38,42.85,3
149.58,31.26,3
133.88,34.92,3
156.67,34.93,3
128.58,32.06,3
198.23,47.25,3
156.59,31.08,3
169.98,40.87,3
182.61,42.42,3
120.18,30.32,3
133.08,34.16,3
134.03,39.97,3
93.6,21.08,3
176.66,36.94,3
157.63,42.01,3
154.9,36.91,3
169.22,42.41,3
103.97,32.67,3
156.8,34.82,3
197.13,36.84,3
120.44,28.42,3
160.14,34.55,3
166.65,33.98,3
81.11,27.72,3
179.64,38.19,3
108.87,34.38,3
127.66,32.61,3
97.09,33.18,3
132.18,32.05,3
153.3,32.44,3
139.51,34.14,3
99.61,28.69,3
105.38,35.29,3
195.31,48.1,3
125.13,33.36,3
121.53,36.85,3
127.68,44.12,3
129.71,38.41,3
165.95,39.24,3
187.78,33.03,3
168.35,35.99,3
134.56,31.03,3
136.7,45.14,3
161.6,47.91,3
128.8,36.05,3
148.87,37.73,3
138.32,38.53,3
216.48,47.33,3
145.73,32.72,3
150.91,29.7,3
156.43,38.17,3
124.04,35.19,3
164.67,32.5,3
165.88,41,3
125.29,40.42,3
95.29,27.51,3
139.68,36.18,3
156.62,36.03,3
147.26,30.16,3
167.8,36.96,3
153.2,36.18,3
140.98,29.63,3
115.09,30.77,3
151.31,23.23,3
135.63,37.71,3
153.22,28.8,3
146.38,36.05,3
199.03,45.93,3
118.03,28.4,3
146.11,40.26,3
135.17,36.23,3
144.48,33.42,3
159.21,38.06,3
230.3,48.75,3
153.55,30.18,3
173.51,40.91,3
221.71,44.56,3
177.07,45.88,3
157.98,37.28,3
159.14,34.04,3
136.72,37.66,3
189.54,37.45,3
174.9,36.91,3
192.91,44.31,3
126.9,31.56,3
153.81,35.52,3
180.11,46.11,3
172.1,34.77,3
180.22,37.04,3
120.59,29.93,3
182.86,37.42,3
161.56,27.81,3
105.44,34.4,3
154.08,34.09,3
128.2,31.94,3
147.07,38.04,3
77.45,26.15,3
153.03,34.59,3
204.06,42.58,3
111.72,32.03,3
189.26,39.56,3
