"precio","tiempo"
165.32,15.53
231.13,23.93
133.85,8.55
198.24,19.33
227.91,18.85
167.79,14.85
142.65,9.39
228.81,19.98
187.2,7.03
188.47,21.24
216.26,23.3
193.26,18.41
130.35,11.33
201,16.45
146.39,10.21
160.14,14.19
198.63,19.15
150.41,15.45
202.5,14.36
168.63,11.85
187.9,17.91
189.68,16.17
163.65,12.4
192.39,16.32
158.05,16.08
195.91,13.97
167.4,12.43
178.12,15.66
106.55,10.5
226.28,13.31
193.04,14.46
188.02,9.57
129.19,20.36
211.67,20.84
210.64,15.42
213.55,21.09
162.99,14.78
150.28,20.7
153.59,8.94
173.41,13.45
175.34,16.03
192.38,14.53
171.9,12.53
245.08,28.68
183.58,13.15
179.23,12.91
235.42,18.99
192.13,17.63
166.5,18.75
172.13,14.93
196.97,19.28
248.35,23.61
172.43,17.64
177.62,11.12
170.12,10.39
148.45,6.38
229.47,18.75
195,11.4
172.22,14.7
128.32,10.14
198.15,12.68
200.73,14.26
180.45,12
189.27,21.41
191.05,17.98
179.01,15.25
154.09,15.74
206.63,15.2
172.63,19.45
137.14,14.58
194.11,13.71
195.24,8.87
102.27,11.98
160.96,12.59
215.17,18.27
192.47,14.44
204.52,18.34
184.81,17.99
165.75,10.2
177.49,11.96
186.76,11.4
152.49,11.13
215.96,11.75
175.52,18.33
184.03,13.86
249.19,24.14
186.47,13.58
172.27,11.11
230.88,23.07
135.59,7.28
138.93,10.08
215.35,12.05
233.14,23.97
161.82,10.29
159.07,12.77
204.38,17.35
176.93,17.61
174.08,18.34
244.69,17.44
154.32,22.7
134.42,6.67
187.34,12.57
154.26,9.74
209.21,14.95
227.58,20.7
239.41,18.77
152.98,7.78
133.19,9.65
210.33,19.37
202.78,19.6
287.18,30.78
170.4,10.2
195.09,15.91
212.79,20.11
237.7,14.06
159.86,11.26
195.8,21.95
128.6,8.72
112.63,5.98
172.22,19.3
182.19,16.61
149.75,9.44
188.98,20.75
204.85,18.73
193.17,8.17
197.81,13.4
146.12,10.01
156.97,12.69
170.83,12.31
169.75,12.36
208.9,10.22
149.48,15.46
187.82,17.93
159.53,20.42
183.78,13.97
220.17,20.34
242.57,17.86
221.45,17.67
250.34,20.47
208.75,19.77
150.44,10.66
219.85,15.8
151.45,8.71
254.34,14.51
225.84,25.45
208.64,19.43
193.22,12.09
270.71,21.52
157.82,17.01
223.73,19.97
187.9,19.48
211.19,25.33
186.29,11.98
166.3,8.49
146.62,8.39
194.46,18.59
185.38,20.79
183.87,16.16
179.41,11.4
214.49,25.22
141.31,9.14
243.14,19.3
182.3,16.83
191.56,15.47
150.79,10.61
181.17,16.33
166.91,17.93
227.97,15.19
286.19,21.93
150.6,5.13
197.99,21.14
187.7,21.95
163.95,8.91
198.74,11.86
169.14,16
218.55,17.74
172.74,12.62
277.72,22.23
154.2,6.53
212.2,20.35
140.09,13
198.24,21.17
219.88,20.25
264.64,24.42
181.52,10.79
137.05,10.24
200.05,22.07
238.71,29.12
172.36,21.61
169.7,14.35
249.49,23.98
180.5,11.05
143.4,15.91
193.33,17.44
147.35,11.59
208.88,19.77
175.78,16.82
192.24,23.04
147.6,11.03
176.71,17.51
192.26,10.11
222.72,17.73
128.89,9.47
197.77,22.28
163.33,15.94
172.74,20.57
151.23,8.97
143.57,9.96
211.16,15.92
191.16,13.08
178.73,15.57
175.81,14.29
203.57,19.11
180.08,17.73
141.07,14.25
200.69,18.09
192.89,15.48
166.37,13.98
200.65,12.78
133.59,16.28
248.34,20.19
206.77,15.25
202.69,17.88
204.35,18.45
200.16,14.33
155,18.23
176.08,9.39
134.51,13.04
188.66,28.18
173,30.13
175.56,21.2
203.95,30.36
169.83,21.26
117.5,18.42
187.82,31.77
186.97,30.71
125.3,21.31
146.22,20.55
80.64,19.68
202.44,31.52
152.04,29.45
190.42,26.25
176.76,28.25
237.77,32.5
189.19,28
132.16,24.74
196.81,26.43
143.06,20.32
170.42,33.02
133.52,32.21
176.14,28.24
163.45,25.03
201.23,34.49
176.2,25.13
203.33,25.47
143.76,22.07
162.19,26.77
236.71,33.51
111.88,23.52
179.3,25.59
144.6,20.7
171.49,21.9
191.5,32.57
168.97,29.26
188.53,30.48
152.64,31.52
246.54,32.29
161.78,28.86
70.9,18.27
114.83,21.68
112.11,22.37
157.82,20.89
163.05,21.51
200.35,32.13
198.1,21.36
146.33,25.85
147.67,25.2
171.09,28.91
123.47,23.24
183.56,32.88
141.97,22.25
155.91,17.73
177.04,28.53
183.28,31.45
147.82,23.59
205.38,30.72
208.37,32.17
114.14,20.2
151.46,22.12
108.92,18.06
144.97,24.76
179.98,23.62
212.83,35.67
186.62,26.59
189.09,25.98
145.98,31.08
215.12,33.59
179,32.84
143.84,25.15
79.04,13.65
118.46,18.06
117.15,23.21
176.81,32.47
153.74,30.44
152.21,22.69
220.95,28.39
186.55,28.94
172.73,31.93
228.78,31.46
158.78,22.73
134.09,21.47
206.61,34.09
191.6,24.7
128.48,22.67
127.67,20.67
121.24,20.56
126.58,25.18
124.75,16.68
208.91,27.17
175,26.82
150.99,23.36
210.98,19.47
116.23,25.62
101.4,18.31
229.91,26.53
143.84,16.16
151.51,24.48
172.41,24.23
195.22,27.97
190.55,29.65
152.3,30.06
168.55,14.43
163.26,29.59
175.7,23.29
163.32,26.29
181.56,23.67
63.82,13.93
263.74,29.79
169.72,25.33
159.81,23.77
174.15,24.45
222.47,31.48
192.06,27.25
175.05,20.85
118.55,24.03
230.82,21.62
149.42,31.14
155.69,24.57
168.84,29.43
181.42,33.68
175.19,25.83
192.71,31.42
183.18,28.07
159,30.95
185.08,27.52
179.84,25.18
139.8,27.38
185.06,27.01
175.79,19.07
160.76,27.11
166.33,27.7
145.9,25.77
133.12,26.49
173.88,27.97
89.65,24.69
126.34,23.98
204.21,28.51
149.83,27.59
157.52,13.02
182.67,27.1
192.73,21.88
179.7,27.59
113.28,23.55
142.14,21.99
109.53,20.01
138.98,23.56
183.16,31.89
167.59,13.21
169.52,27.3
208.24,33.33
180.4,25.81
165.36,30.38
117.3,18.99
225.25,33.75
204.9,30.74
220.26,25.7
194.64,28.34
234.26,23.54
186.76,33.05
174.64,23.94
173.88,25
62.32,17.13
187.35,29.67
227.87,33.76
206.74,35.84
180.63,29.67
150.07,25.29
123.21,19.34
136.54,23.94
165.15,24.12
181.22,29.57
170.09,23.21
191.9,25.92
137.53,23.89
99.24,21.8
172.14,25.46
237.37,32.32
210.08,35.15
191.83,27.84
163.71,27.8
220.8,33.87
160.92,27.93
132.02,17.06
183.18,30.02
167.6,19.46
214.14,35.64
208.69,31.52
108.12,21.99
217.53,33.87
117.26,17.42
139.13,14.06
186.13,23.94
158.33,20.25
125.82,19.67
129.23,14.13
103.22,18.24
145.87,27.71
248.6,33.43
189.6,28.77
200.11,33.16
159.92,27.82
191.45,19.77
178.34,26.76
187.28,38.2
167.89,27.62
139.38,17.93
152.47,29.22
212.61,34.93
195.47,29.35
132.29,20.45
152,27.02
117.25,23.56
235.14,31.73
185.32,26.51
164.69,23.59
118.47,21.56
197.06,33.42
145.28,16.27
165.41,25.2
176.81,28.93
227.57,29.52
148.44,19.4
95.83,18.75
152.75,25.74
171.7,24.97
115.63,26.91
118.63,19.7
154.24,28.58
157.32,27.67
201.75,19.68
124.65,24.74
159.02,23.59
150.78,25.75
166.71,22.43
127.41,24.3
159.15,24.3
168.52,24.15
158.01,23.03
145.68,25.73
148.99,25.85
165.59,27.9
147.55,24.5
210.74,30
160.97,22.38
112.54,25.32
146.5,25.83
184.89,28.29
140.36,24.36
131.59,24.94
220.95,35.48
138.05,29.52
155.63,22.34
160.36,25.71
195.89,29.51
149.05,28.64
173.51,26.65
197.6,26.99
203.49,26.89
166.89,21.13
203.07,22.13
188.82,30.36
126.64,17.94
187.05,29.47
122.21,22.11
175.57,28.21
124.31,17.88
181.75,23.07
126.41,24.13
150.07,25.41
183.49,28.22
195.83,35.95
173.73,19.57
202.43,29.16
203.09,25.89
167.24,25.02
201.87,33.99
176.56,24.1
127.4,24.39
137.79,18.09
171.29,26.72
182.62,21.26
133.37,19.03
219.47,30.17
158.57,31.87
80.85,11.07
208.7,33.22
200.07,28.45
109.2,20.56
169.8,28.08
158.6,23.52
186.08,29.53
89.42,16.47
134.42,20
146.89,25.57
150.85,21.27
219.99,32.95
184.14,26.23
145.26,16.76
131.47,22.82
150.17,26.41
199.12,28.27
166.73,27.82
165.39,29.4
160.54,23.59
213.47,33.53
168.21,25.99
226.42,34.51
181.85,32.77
127.78,13.1
194.56,30.05
155.85,21.37
244.48,36.11
185.02,28.69
170.27,24.41
164.63,30.06
154.3,26.62
173.76,26.54
139.79,27.07
168.71,25.81
159.58,24.01
180.64,22.72
179.96,33.01
194.92,30.08
202.95,31.96
219.61,35.52
161.38,20.93
191.64,22.54
179.81,23.15
222.28,29.54
178.26,24.69
145.17,18.13
102.38,30.11
163.5,24.66
163,24.28
139.13,18.74
142.33,14.08
164.84,23.31
151.25,22.17
151.86,18.99
190.02,32.06
143.45,21.78
166.64,30.45
176.2,29.87
176.59,32.52
121.39,19.45
173.2,23.86
254.73,36.47
196.79,21.01
216.47,36.46
184.34,26.06
215.03,30.68
237.61,32.23
211.84,35.99
233.54,31.96
205.25,36.44
127.57,13.54
149.6,31.96
165.96,18.17
194.82,29.46
206.55,22.73
153.22,20.67
178.81,24.69
134.7,23.64
226.32,37.22
156.8,21.65
187.11,27.33
185.26,19.42
120.03,17.44
182.49,31.19
138.04,19.95
153.73,27.21
123.81,21.43
172.55,26.41
111.51,16.87
181.5,33.16
153.14,16.8
190.13,31.95
154.87,24.85
171.14,30.34
183.15,29.33
145.78,27.03
140.68,20.92
174.42,20.09
141.01,20.4
191.13,19.07
181.24,23.79
201.16,30.61
144.28,17.27
128.33,22.5
132.58,27.03
173.93,18.41
214.66,32.31
179.13,27.86
212.5,34.76
200.77,31.6
152.64,25.95
169.67,23.58
139.19,24.03
194.32,31.2
153.21,24.11
169.87,28.13
197.05,19.85
186.72,23.09
194.55,35.67
154.36,23.07
185.24,25.71
146.72,20.1
136.88,27.93
205.64,31.38
141.44,25.92
223.46,30.29
150.26,20.12
143.81,22.63
170.41,30.81
135.29,32.36
145.27,22.97
159.06,21.66
127.01,29.18
160.1,20.65
182.96,23.16
171.34,32.31
208.12,23.09
200.96,25.54
171.39,26.91
142.29,20.57
171.53,34.85
184.86,24.82
192.41,30.53
148.9,18.82
179.05,30.3
99.79,15.46
182.2,28.24
197.99,31.77
132.83,24.7
237.01,34.99
130.09,17.85
171.99,28.89
168.36,18.11
132.27,18.87
235.38,31.33
203.75,35.32
139.56,23.31
196.59,35.64
222.46,32.61
146.08,17.25
196.82,31.54
199.21,28.97
169.83,25.18
162.44,23.97
176.98,24.63
148.91,25.85
161.69,23.07
170.02,26.46
136.93,16.62
140.44,19.79
110.48,21.67
131.12,20.39
177.13,25.62
194.65,30.6
179.65,23.29
257.44,34.42
196.99,29.66
173.1,31.36
169.54,19.42
194.98,27.99
169.38,26.27
176.5,26.3
169.54,27.48
183.65,17.14
201.94,27.35
157.57,20.52
195.92,26.64
117.42,17.44
164.23,25.33
160.58,24.03
130.56,31.11
177.18,22.17
175.84,26.1
217.17,33.02
169.21,21.98
125.75,18.88
167.67,31.48
180.78,24.64
180.95,28.47
161.91,20.58
196.32,33.7
126.49,19.79
150.13,24.76
175.66,25.29
158.14,23.5
169.19,23.22
161.75,27.71
182.27,27.49
172.16,22.24
185.27,15.68
156.79,27.43
147.16,23.05
217.59,28.47
168.26,33.42
116.23,34.13
133.57,26.21
155.7,40.59
133.12,38.41
131.43,31.1
161.07,42.23
111.37,33.03
147.04,36.39
182.56,36.83
114.85,32.99
185.05,37.1
175.55,36.74
138.91,38.8
100.07,35.4
132.89,38.93
155.15,41.73
149.71,37.04
172.74,35.69
112.69,29.88
135.35,28.53
147.67,33.85
181.99,37.29
113.25,28.4
242.26,47.82
144.38,39.24
115.73,37.53
185.49,38.69
128.96,29.15
125.85,38.96
194.88,46.76
115.22,32.57
142.63,33.27
170.93,40.19
107.47,35.99
192.93,40.14
138.17,40.94
132.67,34.78
186.35,41.9
161.5,37.57
140.89,35.66
177.87,38.02
167.56,38.6
94.57,29.62
125.68,31.2
137.93,39.35
186.15,35.03
138.7,37.75
135.29,36.55
100.87,35.47
174.45,38.14
158.17,40.3
101.79,27.34
165.51,34.38
142.62,33.86
162.74,37.44
199.2,42.83
165.44,40.03
131.69,39.75
160.12,35.03
85.85,31.42
185.74,36.73
115.89,36.17
165.59,32.77
144.05,26.33
121.25,29.97
111.86,36.37
98.41,38.3
86.84,33.55
146.77,35.09
153.92,36.91
189.26,35.04
140.27,36.34
189.86,37.54
135.58,37.2
229.15,44.98
167.17,37.46
134.4,28.55
146.98,35.47
167.01,32.34
196.89,42.5
166.79,32.74
163.55,35.11
141.23,40.78
156.46,37.84
134.94,31.39
220.62,41.24
188.45,41.61
185.43,43.3
154.61,30.38
147.29,41.12
188.04,32.63
153.21,34.22
181.06,31.64
146.53,32.36
134.16,38.62
160.17,37.6
152.3,35.68
124.47,34.93
174.48,36.05
148.7,36.4
207.55,37.4
134.45,35.02
148.01,34
132,39.15
102.34,37.01
193.54,42.26
87.7,26.32
120.95,30.21
145.21,29.5
114.3,34.24
148.63,33.62
131.41,34.96
203.43,42.2
160.18,39.86
127.2,33.13
135.11,28.76
115.5,28.36
150.53,33.48
202.64,42.43
116.65,26.37
182.44,38.73
122.03,32.36
149.91,41.08
125.99,27.85
121.2,32.75
168.31,34.01
139.17,33.12
115.31,32.02
175,34.88
94.36,28.79
99.18,33.3
154.62,34.39
212.81,40.28
124.06,33.5
118.2,27.69
164.36,38.54
77.78,31.76
139.45,38.16
140.9,38.44
238.09,53.94
213.5,41.24
106.93,33.18
127.35,34.54
120.55,37.49
185.62,42.75
106.15,37.71
119.21,34.71
180.11,30.1
122.1,39.41
155.55,31.06
169.76,37.95
156.02,39.59
150.97,38.61
183.84,37.38
101.12,37.46
134.94,42.07
93.12,30.72
194.1,30.06
138.04,33.19
174.47,38.14
170.37,42.13
160.74,40.96
198.44,37.83
129.95,29.64
191.55,45.27
132.82,34.1
217.3,38.09
183.42,39.59
91.82,25.63
121.77,37.87
144.83,41.81
156.86,37.11
141.13,46.6
144.97,37.78
119.49,30.38
218.8,44.52
170.14,41.37
111.65,35.52
129.87,33.69
128.13,25.59
197.46,39.35
206.55,40.06
133.34,31.61
159.43,39.84
159.99,41.06
169.93,39.32
188.69,38.94
141.52,37.55
116.91,30.55
166.31,40.81
164.81,44.57
156.74,35.21
166.3,43.06
131.19,34.34
93.57,30.43
143.07,40.29
154.74,43.14
135.04,39.18
113.34,27.75
162.71,40.54
139.04,31.68
114.4,30.72
131.84,26.44
172.85,45.61
122.4,34.04
163.31,33.96
186.06,41.67
175.32,37.36
194.72,39.81
107.21,34.11
126.25,26.98
89.11,30.44
104.98,30.98
170.92,36.01
147.85,37.83
132.93,36.6
190.76,34.28
163.01,37.44
110.58,31.45
169.15,32.22
183.99,37.48
200.04,40.83
217.73,45.43
233.37,51.87
124.15,41.89
137.52,32.41
121.27,29.16
132.69,40.16
177.18,35.97
155.83,43.43
135.18,28.18
111.45,30.58
126.02,30.8
137.66,28.43
163.44,37.67
150.02,44.28
189.18,31.22
127.49,36.82
142.1,36.46
84.94,29.95
116.52,31.55
147.11,34.57
137.7,30.12
124.87,34.31
195.82,38.57
212.96,38.92
190.53,42.17
170.09,31.3
151.85,38.68
108.9,29.23
138.46,32.09
170.07,44.99
187.57,39.77
116.88,31.23
119.92,37.17
77.37,33.79
140.34,36.09
152.06,31.83
199.8,41.43
145.41,33.07
157.01,34.51
138.01,37.37
148.37,37.47
111.81,25.26
99.45,30.15
177.83,42.51
119.42,33.45
133.23,32.07
99.58,30.16
133.39,40.6
161.65,36.1
77.81,28.63
195.92,49.15
83.03,30.68
233.46,41.19
110.83,29.31
139.3,33.15
108.92,37.19
199.57,40.71
139.63,33.27
137.53,36.58
201.35,34.99
178.13,35.54
131.76,37.29
265.93,51.81
96.96,29.53
140.66,28.82
131.78,31.33
149.47,40.41
133.1,33.92
151.76,35.53
175.79,44.34
212.7,38.95
160.48,43.17
150.51,35.03
159.05,37.07
122.5,28.21
100.45,33.52
170.71,35.61
140.55,38.02
200.38,42.85
149.58,31.26
133.88,34.92
156.67,34.93
128.58,32.06
198.23,47.25
156.59,31.08
169.98,40.87
182.61,42.42
120.18,30.32
133.08,34.16
134.03,39.97
93.6,21.08
176.66,36.94
157.63,42.01
154.9,36.91
169.22,42.41
103.97,32.67
156.8,34.82
197.13,36.84
120.44,28.42
160.14,34.55
166.65,33.98
81.11,27.72
179.64,38.19
108.87,34.38
127.66,32.61
97.09,33.18
132.18,32.05
153.3,32.44
139.51,34.14
99.61,28.69
105.38,35.29
195.31,48.1
125.13,33.36
121.53,36.85
127.68,44.12
129.71,38.41
165.95,39.24
187.78,33.03
168.35,35.99
134.56,31.03
136.7,45.14
161.6,47.91
128.8,36.05
148.87,37.73
138.32,38.53
216.48,47.33
145.73,32.72
150.91,29.7
156.43,38.17
124.04,35.19
164.67,32.5
165.88,41
125.29,40.42
95.29,27.51
139.68,36.18
156.62,36.03
147.26,30.16
167.8,36.96
153.2,36.18
140.98,29.63
115.09,30.77
151.31,23.23
135.63,37.71
153.22,28.8
146.38,36.05
199.03,45.93
118.03,28.4
146.11,40.26
135.17,36.23
144.48,33.42
159.21,38.06
230.3,48.75
153.55,30.18
173.51,40.91
221.71,44.56
177.07,45.88
157.98,37.28
159.14,34.04
136.72,37.66
189.54,37.45
174.9,36.91
192.91,44.31
126.9,31.56
153.81,35.52
180.11,46.11
172.1,34.77
180.22,37.04
120.59,29.93
182.86,37.42
161.56,27.81
105.44,34.4
154.08,34.09
128.2,31.94
147.07,38.04
77.45,26.15
153.03,34.59
204.06,42.58
111.72,32.03
189.26,39.56
183.93,38.35
209.14,42.14
92.46,24.01
172.71,35.51
102.74,26.76
159.23,38.36
166.9,39.48
117.51,37.3
146.05,36.95
140.72,29.68
117.48,33.07
167.37,30.79
151.64,38.88
163.6,36.62
159.8,33.8
162.65,35.58
102.16,24.96
82.71,37.91
77.02,25.79
83.1,28.02
175.62,42.22
148.93,44.94
165.63,36.98
115.57,32.75
161.38,36.61
189.99,32.53
159.46,44.57
137.9,27.93
137.46,34.75
150.74,38.96
124.64,33.9
150.92,37.38
174.38,40.61
107.32,32.72
193.43,46.82
120.72,33.95
186.73,37.21
130.89,36.55
206.06,38.4
178.83,42.01
155.37,32.25
146.2,32.7
186.99,42.6
123.54,34.56
157.39,42.05
159.05,36.51
136.56,35.34
178.09,40.88
156.21,35.87
64.81,30.81
97.58,32.59
225.33,46.64
171.49,39.53
160.47,36.63
168.62,36.72
203.34,36.25
133.69,32.41
133.3,29.5
135.08,34.95
105.05,36.59
148.94,35.71
188.52,37.29
160.31,45.12
121.76,34.35
141.47,34.42
175.75,37.41
174.68,37.47
194.09,40.15
165.83,33.64
141.62,35.05
165.49,38.39
102.6,28.03
148.28,34.54
125.95,26.49
212.53,40.27
159.01,40.03
112.67,29.97
185.16,37.4
114.62,31.31
127.7,36.75
69.78,32.2
124.18,32.94
91.6,29.66
200.04,37.98
138.76,39.08
178.59,36.13
124.74,35.78
158.31,37.77
130.21,34.1
138.83,35.59
146.03,35.21
113.46,34.9
147.99,40.23
115.86,37.96
125.5,40.27
186.02,36.3
205.17,46.6
227.61,39.99
119.95,41.71
125.08,48.86
146.96,51.57
111.08,39.05
147.13,49.79
89,46.96
121.66,47.97
89.55,41.77
97.31,48.16
87.31,45.02
148.85,52.98
70.55,34.76
91.97,44.17
195.51,53.18
135.48,51.66
169.94,48.47
138.34,50.29
149.12,44.17
127.95,44.21
81.39,45.1
135.74,45.33
93.57,46.55
42.66,34.86
134,52.32
94.87,43.5
93.34,38.91
95.1,47.35
115.42,51.07
139.76,45.44
165.12,45.92
86.41,44.55
125.15,46.76
129.61,43.18
57.27,42.92
126.49,50.9
96.41,47.29
148.53,45.19
157.53,41.22
137.08,45.86
105.22,42.89
140.58,47.13
91.16,47.85
130.18,40.91
99.33,48.05
80.85,40.99
96.24,40.92
93.24,48.98
97.94,47.12
114.84,41.8
156.25,50.01
138.18,49.19
135.16,44.63
95.69,46.64
96.38,44.75
129.46,43.64
110.49,43.16
135.65,48.79
133.67,41.32
112.9,42.95
146.39,50.4
161.02,50.81
156.25,39.73
129.95,45.55
91.94,39.62
162.73,51.7
140.97,44.41
81.3,41.36
113.48,41.6
78.09,39.62
153.69,46.38
116.16,53.25
119.08,46.61
97,45.51
34.56,33.77
89.29,40.2
143.86,45.43
109.92,48.05
105.16,45.38
107.57,48.06
111.87,41.25
82.74,39.08
154.05,48.31
110.78,44.81
100.21,49.35
133.99,43.97
141.55,40.03
101.24,49.13
90.51,45.02
106.77,43.51
158.87,52.64
128.24,44.42
170.38,51.1
160.78,50.86
133.9,44.21
113.44,44.59
162.86,48.38
92.16,42.61
117.14,50.51
147.12,54.16
64.08,42.44
109.59,46.27
142.97,50.97
92.12,39.57
113.93,44.32
151.52,54.15
108.06,49.86
128.83,43.63
145.77,55.49
143.34,52.13
72.12,38
156.64,52.62
174.41,50.43
123.37,52.3
112.94,41.71
165,43.28
154.86,44.99
96.79,39.86
144.94,58.69
115.23,51.25
121.32,44.33
133.99,46.43
73.16,44.67
129.51,48.56
114.55,47.67
155.95,45.58
177.23,48.95
127.67,41.4
142.32,50.23
117.82,49.81
105.03,43.56
85.22,41.2
110.37,42.38
140.55,46.35
98.14,46.35
128.84,45.16
143.25,47.94
91.03,38.17
138.66,48.86
128.69,49.92
146.83,42.61
94.97,43.93
126.48,49.77
70.39,39.57
114.54,41.15
101.95,39.07
88.95,46.12
153.86,49.03
87.24,46.91
144.29,48.08
153.53,45.24
124.67,52.61
107.36,48.32
116.68,41.18
152.84,45.96
159.21,54.91
108.2,47.85
107.92,41.36
141.2,49.58
95.81,42.68
163.81,55.47
181.57,47.36
89.3,42.33
83.5,43.21
120.01,49.52
87.51,42.95
62.73,40.51
161.43,46.89
135.57,43.08
49.46,43.38
135.79,53.52
131.63,45.56
114.09,47.08
112.8,46.89
169.35,46.43
103.65,43.11
155.07,46.07
124.1,47.38
157.39,49.36
147.47,47.17
130.95,41.72
140.69,50.81
97.77,42.19
133.26,44.55
69.87,41.03
117.59,37.9
28.28,37.63
108.76,43.49
87.15,44.4
138.18,51.78
88.62,45.16
111.48,45.13
123.88,35.84
103.12,45.18
157.88,54.34
149.58,43.95
97.13,44.1
156.03,42.88
141.15,43.01
184.57,52.78
162.13,49.83
141.9,44.76
116.44,38.9
96.08,40.42
84.84,38.14
159.69,46.5
151.49,48.87
95.3,42.44
95.91,50.08
158.29,49.7
120.28,47.19
72.26,37.54
97.7,50.47
116.99,42.33
91.41,40.94
81.68,41.05
94.46,41.97
127.1,49.29
156.9,46.94
87.39,38.44
86.97,39.22
122.74,47.19
172.01,54.69
105.37,43.99
141.29,44.36
87.65,44.71
168.25,49.33
109.16,43.63
157.68,53.17
29.02,43.74
85.59,37.19
129.79,50.01
109.21,40.33
106.42,42.89
149.04,51.62
95.89,41.46
199.26,61.04
93.36,44.51
146.17,50.38
105.77,39.19
106.63,44.32
207.94,50.18
119.77,45.39
164.11,44.17
118.02,48.63
117.99,41.55
107.26,43.48
100.37,46.22
112.8,44.06
117.32,52.34
43.42,42.55
136.13,42.23
148.46,58.91
60.3,42.11
155.55,53.87
121.82,48.49
